Dataset,RMs,MAE,,,,RMSE,,,
,,Min.,Median,Mean,Max.,Min.,Median,Mean,Max.
DDUS,LM,4.39E-16,2.92E-15,8.60E-15,3.18E-14,5.69E-16,3.06E-15,8.84E-15,3.26E-14
,ENET,6.71E-16,1.55E-15,1.77E-15,4.10E-15,8.90E-16,1.98E-15,2.23E-15,5.12E-15
,LARS,9.53E-16,1.83E-15,1.86E-15,2.76E-15,1.21E-15,2.30E-15,2.34E-15,3.43E-15
,RLM,3.40E-16,1.85E-15,2.30E-15,8.64E-15,4.84E-16,2.01E-15,2.43E-15,8.69E-15
DD,LM,2.50E-16,2.07E-15,2.24E-15,5.51E-15,4.19E-16,2.41E-15,2.61E-15,6.03E-15
,ENET,2.22E-16,6.99E-16,8.32E-16,2.40E-15,3.14E-16,9.01E-16,1.07E-15,3.12E-15
,LARS,1.48E-16,7.27E-16,1.14E-15,6.17E-15,2.56E-16,9.04E-16,1.40E-15,6.87E-15
,RLM,2.83E-16,6.99E-16,7.53E-16,1.67E-15,4.02E-16,8.25E-16,8.98E-16,1.99E-15
ED,LM,2.05E-16,1.43E-15,1.50E-15,3.59E-15,3.48E-16,1.66E-15,1.70E-15,3.89E-15
,ENET,3.70E-16,9.52E-16,1.08E-15,3.14E-15,4.80E-16,1.28E-15,1.40E-15,3.66E-15
,LARS,2.59E-16,7.81E-16,8.15E-16,1.88E-15,3.85E-16,1.01E-15,1.04E-15,2.09E-15
,RLM,1.71E-16,6.09E-16,6.88E-16,1.78E-15,3.26E-16,7.45E-16,8.37E-16,2.03E-15
DDUS+DD,LM,8.19E-16,6.40E-15,9.49E-15,2.25E-14,9.94E-16,6.56E-15,9.70E-15,2.29E-14
,ENET,7.68E-16,1.65E-15,1.86E-15,4.90E-15,1.03E-15,2.08E-15,2.34E-15,6.07E-15
,LARS,1.10E-15,1.98E-15,2.04E-15,3.30E-15,1.45E-15,2.50E-15,2.55E-15,4.16E-15
,RLM,4.38E-16,1.85E-15,2.33E-15,7.56E-15,5.88E-16,1.98E-15,2.46E-15,7.60E-15
DDUS+ED,LM,3.60E-15,2.80E-14,2.35E-14,3.12E-14,3.84E-15,2.85E-14,2.40E-14,3.15E-14
,ENET,6.55E-16,1.85E-15,1.92E-15,4.23E-15,8.48E-16,2.30E-15,2.42E-15,5.23E-15
,LARS,1.42E-15,2.03E-15,2.08E-15,3.04E-15,1.81E-15,2.59E-15,2.62E-15,3.72E-15
,RLM,4.38E-16,2.02E-15,2.28E-15,9.19E-15,5.75E-16,2.15E-15,2.41E-15,9.34E-15
DD+ED,LM,2.87E-16,8.02E-15,7.23E-15,1.09E-14,3.98E-16,8.32E-15,7.49E-15,1.18E-14
,ENET,3.73E-16,1.03E-15,1.11E-15,2.83E-15,4.85E-16,1.36E-15,1.45E-15,3.48E-15
,LARS,3.70E-16,7.92E-16,8.03E-16,1.67E-15,4.80E-16,1.03E-15,1.05E-15,2.09E-15
,RLM,2.42E-16,8.01E-16,1.16E-15,4.46E-15,3.79E-16,9.60E-16,1.30E-15,4.54E-15
DDUS+DD+ED,LM,1.02E-15,3.79E-15,5.73E-15,1.31E-14,1.27E-15,3.96E-15,5.89E-15,1.33E-14
,ENET,8.96E-16,1.87E-15,2.09E-15,5.14E-15,1.17E-15,2.36E-15,2.62E-15,6.23E-15
,LARS,1.09E-15,2.16E-15,2.16E-15,3.23E-15,1.41E-15,2.71E-15,2.73E-15,4.14E-15
,RLM,4.54E-16,1.92E-15,2.52E-15,8.22E-15,6.23E-16,2.04E-15,2.65E-15,8.36E-15
